image_url,alt_text,ai_prediction,breed_from_catapi,temperament,description,origin,life_span,weight
https://media.istockphoto.com/id/1443562748/photo/cute-ginger-cat.jpg?s=612x612&w=0&k=20&c=vvM97wWz-hMj7DLzfpYRmY2VswTqcFEKkC437hxm3Cg=,"cute ginger cat cute ginger cat sitting and looking at the camera,  isolated on white background cats stock pictures, royalty-free photos & images",tabby,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1361394182/photo/funny-british-shorthair-cat-portrait-looking-shocked-or-surprised.jpg?s=612x612&w=0&k=20&c=6yvVxdufrNvkmc50nCLCd8OFGhoJd6vPTNotl90L-vo=,"funny british shorthair cat portrait looking shocked or surprised funny british shorthair cat portrait looking shocked or surprised on orange background with copy space cats stock pictures, royalty-free photos & images",Egyptian_cat,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/992637094/photo/british-short-hair-cat-and-golden-retriever.jpg?s=612x612&w=0&k=20&c=MPxqqfyY1mhqlrqD9xCC3NA14qSR0DfZnD5SVJxs2Ik=,"British short hair cat and golden retriever British short hair cat and golden retriever cats stock pictures, royalty-free photos & images",Sussex_spaniel,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1325997570/photo/bengal-cat-lying-on-sofa-and-smiling.jpg?s=612x612&w=0&k=20&c=U6HBa06jHDDZ4Wbd1GylTEybkvUCUaMf7blxCr-bon0=,"Bengal cat lying on sofa and smiling. Amazing domestic bengal cat with spotted fur lying on sofa and smiling In her sleep. Cat's dreams. cats stock pictures, royalty-free photos & images",tiger_cat,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1194128644/vector/dog-and-cat-paw-print.jpg?s=612x612&w=0&k=20&c=KNapF9fkhnV9XRrp1cW3EqW8zRLO-yuZyeHsi9bTf9Y=,"Dog and cat paw print Dog and cat paw print symbol. Black and white silhouette icon, difference between feline and canine trace. Isolated vector clip art illustration. cats stock illustrations",unknown,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1356341408/vector/black-cat-peeking-out-of-corner-set-vector-flat-illustration-funny-looking-feline-with.jpg?s=612x612&w=0&k=20&c=14RBMmqbaEnk4aJk5YPYaQ-i_qN0_aqigTojxLQ7qJM=,"Black cat peeking out of corner set vector flat illustration Funny looking feline with mustache Black cat peeking out of corner set vector flat illustration. Collection funny looking feline with mustache and tail isolated. Comic emotional domestic animal with paw spy, hiding, hunting or playing cats stock illustrations",unknown,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1364253107/photo/dog-and-cat-as-best-friends-looking-out-the-window-together.jpg?s=612x612&w=0&k=20&c=9oHaovd8M0wBqkKY5ayhZhjEfyRS21KWkkFVqIzvsXE=,"dog and cat as best friends, looking out the window together dog and cat as best friends, looking out the window together cats stock pictures, royalty-free photos & images",refrigerator,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1300144006/vector/black-cat-silhouette-on-white-background.jpg?s=612x612&w=0&k=20&c=VW6-p5P-KfRkvXTK_Hax_SnbuLpwLHfGok9kxyjfbQw=,"Black Cat Silhouette on White Background. Black Cat Silhouette on White Background. Icon Vector Illustration. Print, Sticker. cats stock illustrations",unknown,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1389862392/photo/womans-hand-stroking-a-ginger-cat-on-isolated-white-background.jpg?s=612x612&w=0&k=20&c=DW07OmTZBTG0u2A8McZfmXkIW_7VXCAwDpVIRhUfqQw=,"woman's hand stroking a ginger cat on Isolated white background Portrait of a woman's hand stroking a ginger cat with smile on Isolated white background cats stock pictures, royalty-free photos & images",tabby,unsure,N/A,N/A,N/A,N/A,N/A
https://media.istockphoto.com/id/1385113345/photo/a-cat-and-a-dog-lie-together-on-the-bed-pets-sleeping-on-a-cozy-gray-plaid-the-care-of.jpg?s=612x612&w=0&k=20&c=mnodEI40UAF4kADLoYY6ABCPGFJtWr_k-gaDKZdOYz0=,"A cat and a dog lie together on the bed. Pets sleeping on a cozy gray plaid. The care of animals. Love and friendship of a kitten and a puppy. A cat and a dog lie together on the bed. Pets sleeping on a cozy gray plaid. The care of animals. Love and friendship of a kitten and a puppy. cats stock pictures, royalty-free photos & images",Afghan_hound,unsure,N/A,N/A,N/A,N/A,N/A
https://cdn2.thecatapi.com/images/9JisqWsnL.jpg,,Egyptian_cat,Havana Brown,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful","The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.",United Kingdom,10 - 15,6 - 10
https://cdn2.thecatapi.com/images/wwFp9IiRd.jpg,,Border_collie,Ragamuffin,"Affectionate, Friendly, Gentle, Calm","The Ragamuffin is calm, even tempered and gets along well with all family members. Changes in routine generally do not upset her. She is an ideal companion for those in apartments, and with children due to her patient nature.",United States,12 - 16,8 - 20
https://cdn2.thecatapi.com/images/jyjEWK7xp.jpg,,coyote,Maine Coon,"Adaptable, Intelligent, Loving, Gentle, Independent","They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isnâ€™t needy. Most Maine Coons love water and they can be quite good swimmers.",United States,12 - 15,12 - 18
https://cdn2.thecatapi.com/images/e4K-lKOic.jpg,,Persian_cat,Siberian,"Curious, Intelligent, Loyal, Sweet, Agile, Playful, Affectionate","The Siberians dog like temperament and affection makes the ideal lap cat and will live quite happily indoors. Very agile and powerful, the Siberian cat can easily leap and reach high places, including the tops of refrigerators and even doors. ",Russia,12 - 15,8 - 16
https://cdn2.thecatapi.com/images/7CGV6WVXq.jpg,,printer,Turkish Angora,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social","This is a smart and intelligent cat which bonds well with humans. With its affectionate and playful personality the Angora is a top choice for families. The Angora gets along great with other pets in the home, but it will make clear who is in charge, and who the house belongs to",Turkey,15 - 18,5 - 10
